date,r_actual,sigma_ret,es_norm_01,es_t3_01,es_t5_01,es_norm_05,es_t3_05,es_t5_05,var_return_01,viol_return_01,var_return_05,viol_return_05
2022-10-11,-0.0038621859168106454,0.01957175280167283,-0.05216291388411133,-0.07913312350268024,-0.06749978052097887,-0.04037090516937988,-0.04377828052907007,-0.04381497484888989,-0.043540180925023965,0,-0.022566081271414053,0
2022-10-12,0.004166460983817899,0.014209643157712972,-0.037871743009976123,-0.05745287396191756,-0.049006739669483,-0.029310412931524803,-0.03178426330436637,-0.03181090441289857,-0.03161139629323192,0,-0.01638360986795913,0
2022-10-13,0.006318098299983532,0.02288754882262918,-0.06100022059093025,-0.09253965375548458,-0.07893541972687354,-0.04721044008888871,-0.05119508421822122,-0.05123799519532683,-0.0509166463916517,0,-0.02638916872027745,0
2022-10-14,-0.00586185922279725,0.016349708284038835,-0.04357547501712596,-0.06610565226243079,-0.056387474946052084,-0.03372475267649716,-0.036571181083277095,-0.03660183451686655,-0.03637227917049768,0,-0.018851088588754165,0
2022-10-15,-0.005386739318852918,0.014692573699035379,-0.0391588563561479,-0.059405473841802406,-0.05067228827294551,-0.030306559944247025,-0.032864486875975193,-0.03289203341223855,-0.032685744787026516,0,-0.016940425088055204,0
2022-10-16,0.00786706252609548,0.02010391132550383,-0.05358123034930395,-0.0812847635022271,-0.06933510840014002,-0.04146859537211033,-0.04496861771441496,-0.0450063097576,-0.04472404415092855,0,-0.023179655978786184,0
2022-10-17,0.0033311492974821277,0.019187682281574615,-0.05113928367232996,-0.07758023755482213,-0.06617518399281345,-0.03957867798858726,-0.04291918798165304,-0.042955162222559094,-0.042685760776634656,0,-0.02212325089958605,0
2022-10-18,-0.012370873645060954,0.019491210592217544,-0.05194825164213303,-0.07880747272052552,-0.067222003588274,-0.04020476972239152,-0.043598122958325394,-0.043634666272682254,-0.04336100318824586,0,-0.022473216719998305,0
2022-10-19,-0.0010208249151091309,0.014193411957099552,-0.03782848338328795,-0.05738724746357814,-0.04895076090814772,-0.02927693262613828,-0.03174795720235403,-0.03177456787963807,-0.031575287651430646,0,-0.016364895417808105,0
2022-10-20,-0.00511981458311439,0.015464767405890383,-0.041216918004519404,-0.06252763160619675,-0.05333545831502467,-0.03189937379325348,-0.03459173701366299,-0.034620731305941316,-0.0344036008240575,0,-0.017830758525368754,0
2022-10-21,-0.0020552879498865195,0.010871270783418869,-0.02897426548519788,-0.04395506229068228,-0.03749323830628925,-0.022424309478839385,-0.02431696061598103,-0.02433734273969866,-0.02405103348254193,0,-0.012465211781345922,0
2022-10-22,0.001849949140130036,0.010155155384275806,-0.02706566453999318,-0.041059642095220006,-0.035023473193288315,-0.020947169073373694,-0.02271514696379795,-0.022734186470543545,-0.022466737057102587,0,-0.01164409985358341,0
2022-10-23,0.018414478317719585,0.014961687844449262,-0.03987610320340119,-0.060493564577525104,-0.05160041903029778,-0.030861665138673656,-0.03346644392456734,-0.03349449501249859,-0.033100459226076205,0,-0.017155364014288407,0
2022-10-24,-0.014264563301347621,0.014319086676364154,-0.03816343343220994,-0.05789537942199325,-0.04938419249975616,-0.029536163479145273,-0.03202906759502707,-0.03205591389496528,-0.031678801858005846,0,-0.016418544942194423,0
