family,param,beta,se_hac,t,p
HAR-RS-DOW,log_RK_M,0.23884540092202827,0.04149425723599944,5.756107394900218,8.607563724527511e-09
HAR-RS-DOW,dow_1,0.09015824054672746,0.06882590792088432,1.3099462581788932,0.19021401674038496
HAR-RS-DOW,dow_2,-0.05280862300670325,0.06817622309646429,-0.7745900345928957,0.43858194774839754
HAR-RS-DOW,dow_3,-0.10488804463025525,0.06518513287436006,-1.6090792486749987,0.10759901412079681
HAR-RS-DOW,dow_4,-1.2239775837472546,0.09791750458758561,-12.500089630577,7.456716649563844e-36
HAR-RS-DOW,dow_5,-0.3132137891262066,0.07692297114981525,-4.071784857558234,4.665426160196314e-05
HAR-RS-DOW,dow_6,0.37201831371316163,0.06745704082590886,5.514892280455283,3.4899364740232056e-08
HAR-RS-X,const,-0.9219646252056817,0.2898954820655384,-3.180334576574214,0.0014710510088596191
HAR-RS-X,log_RS_neg_D,0.32482059476707736,0.0586761751822243,5.535817455011627,3.097800827101443e-08
HAR-RS-X,log_RS_pos_D,0.25933252043586513,0.06425865909828894,4.035759912748794,5.442585028279223e-05
HAR-RS-X,log_RK_W,-0.03709212297039127,0.061522995872620584,-0.6028985169575963,0.5465762026358236
HAR-RS-X,log_RK_M,0.33964899412615,0.053812240540371384,6.311742286057319,2.7591141826344427e-10
HAR-RS-X,is_weekend,0.40436045237956336,0.05508871841760605,7.3401680778678635,2.1332578660752195e-13
HAR-RS-X,eurusd_vol5,-4.228196706112193,13.048875181622043,-0.3240276765055704,0.7459170808493756
HAR-RS-X,macro_VIXCLS,0.005783657292450686,0.0039606376566800935,1.4602843768593297,0.1442119339877113
HAR-RS-X,macro_T10Y2Y,0.17946504349581371,0.04217227979399332,4.255521503046066,2.0856231796698286e-05
HAR-RS-Q-WE-X,const,-0.9880199198706064,0.28238234870184276,-3.4988728028245872,0.00046722941452573177
HAR-RS-Q-WE-X,log_RS_neg_D,0.3720389482642283,0.05819300510456125,6.393190171151126,1.6245999914295116e-10
HAR-RS-Q-WE-X,log_RS_neg_D_Q,-0.007765299730987002,0.016484353650736007,-0.4710709255282381,0.6375900867954725
HAR-RS-Q-WE-X,log_RS_pos_D,0.2590273890261219,0.06255216874754221,4.1409817471164745,3.45822482204695e-05
HAR-RS-Q-WE-X,log_RS_pos_D_Q,0.01348657029668741,0.01606239650179432,0.8396362457607639,0.4011123701780537
HAR-RS-Q-WE-X,log_RK_W,-0.08947137331750406,0.06003516651292109,-1.490316068303859,0.1361411494935262
HAR-RS-Q-WE-X,log_RK_M,0.3378053148992643,0.053993619426704165,6.256393227311458,3.9398261780108443e-10
HAR-RS-Q-WE-X,is_weekend,0.4609595943481415,0.05735803234005883,8.036530814293771,9.241771607147209e-16
HAR-RS-Q-WE-X,eurusd_vol5,-5.897820421246529,12.840751227077748,-0.4593049360546434,0.646015203629334
HAR-RS-Q-WE-X,macro_VIXCLS,0.006890316222240338,0.0038103830997888565,1.808300121481787,0.0705598029859416
HAR-RS-Q-WE-X,macro_T10Y2Y,0.15913950041747776,0.04112933391899847,3.8692457488101457,0.0001091725609866566
