n,tot_ret,ann_ret,ann_vol,sharpe,sortino,mdd,calmar,strategy,model,target_vol,threshold,fee_label,fee_rate,avg_turnover,avg_weight,pct_invested
1312,1.3537789656214136,0.2688949379825034,0.4104165601942539,0.7850213132129011,1.163697208843207,-0.5068389981647435,0.530533244198193,vol-managed,HAR-RS-DOW,0.45,0.0,taker_25bps,0.0025,0.03387198913289744,0.961703957108424,1.0
1312,1.4520022151288634,0.28340928749278893,0.4098793858575493,0.8132761326166618,1.2047026088773882,-0.49957626016567513,0.5672993496504448,vol-managed,HAR-RS-DOW,0.45,0.05,maker_15bps,0.0015,0.031664857140246604,0.9593368643770627,1.0
1312,1.4015783746330914,0.2760117214485871,0.40988412697771825,0.7991680179389627,1.183219646501581,-0.501859440260283,0.5499781399059409,vol-managed,HAR-RS-DOW,0.45,0.05,blend_20bps,0.002,0.031664857140246604,0.9593368643770627,1.0
1312,1.3521861371022377,0.26865599508077764,0.40989017477977147,0.7850577269538658,1.1617484428984743,-0.5041324415505087,0.5329075713804488,vol-managed,HAR-RS-DOW,0.45,0.05,taker_25bps,0.0025,0.031664857140246604,0.9593368643770627,1.0
1312,1.4070592589835829,0.27682120901730434,0.40940587015246604,0.8011528145850997,1.1823749027387762,-0.5049799421789224,0.5481825829019209,vol-managed,HAR-RS-DOW,0.45,0.1,maker_15bps,0.0015,0.02724182104743096,0.952727695812361,1.0
1312,1.3643882252222186,0.27048348063142735,0.409416902745011,0.7889880233897842,1.1639558913657015,-0.5068582801772815,0.533647157814649,vol-managed,HAR-RS-DOW,0.45,0.1,blend_20bps,0.002,0.02724182104743096,0.952727695812361,1.0
1312,1.32246853306374,0.26417643729051377,0.4094292568945099,0.7768213803537363,1.1455427262923172,-0.5087297036867102,0.5192864410630147,vol-managed,HAR-RS-DOW,0.45,0.1,taker_25bps,0.0025,0.02724182104743096,0.952727695812361,1.0
1312,1.3452104285511668,0.2676081793541747,0.43477157295094787,0.7624997310009708,1.1050310036109567,-0.5478601248793494,0.48846077164879953,vol-managed,HAR-RS-DOW,0.55,0.0,maker_15bps,0.0015,0.014651037293078024,0.9862201963053077,1.0
1312,1.3227330162692277,0.2642164867937622,0.4347815081796012,0.7563325185857301,1.0957189520163844,-0.5488238179856356,0.48142314188098434,vol-managed,HAR-RS-DOW,0.55,0.0,blend_20bps,0.002,0.014651037293078024,0.9862201963053077,1.0
1312,1.3004687047768058,0.26083351376281305,0.43479204099237856,0.7501645569811859,1.086409621839211,-0.5497855243671869,0.4744277581026477,vol-managed,HAR-RS-DOW,0.55,0.0,taker_25bps,0.0025,0.014651037293078024,0.9862201963053077,1.0
1312,1.35311746871764,0.2687957198870963,0.4340872072311054,0.7651763366692478,1.1089152779414957,-0.544046582528515,0.49406747238047016,vol-managed,HAR-RS-DOW,0.55,0.05,maker_15bps,0.0015,0.013796624589338754,0.9840020895254845,1.0
1312,1.331880075893325,0.26559956396228235,0.4340945811950704,0.7593630266681405,1.1001145997708281,-0.5449860289150211,0.4873511427275449,vol-managed,HAR-RS-DOW,0.55,0.05,blend_20bps,0.002,0.013796624589338754,0.9840020895254845,1.0
